20    32 1.0262964            0.0022610   279 139.000        27921.1779121        27921.1938477        27920.8052708            0.0000000            0.0000000 
20    33 1.0352088            0.0018956   279 139.000        27922.2996726        27922.5745802        27922.4660555            0.0000000            0.0000000 
20    34 1.0381260            0.0018593   279 139.000        27922.8605866        27922.7047638        27922.6016682            0.0000000            0.0000000 
20    35 1.0372943            0.0016603   279 139.000        27922.2996726        27922.6719085        27922.6780890            0.0000000            0.0000000 
20    36 1.0232670            0.0016455   279 139.000        27920.6170657        27921.0989022        27921.2008709            0.0000000            0.0000000 
20    37 1.0329345            0.0014916   279 139.000        27922.2996726        27922.3223987        27921.6035807            0.0000000            0.0000000 
20    38 1.0266274            0.0013795   279 139.000        27921.7387811        27921.6171339        27921.5984211            0.0000000            0.0000000 
20    39 1.0325033            0.0013534   279 139.000        27921.7387811        27921.6738343        27921.5535437            0.0000000            0.0000000 
20    40 1.0280019            0.0013843   279 139.000        27921.1779121        27921.6042146        27921.4473601            0.0000000            0.0000000 
20    41 1.0341419            0.0013746   279 139.000        27922.2996726        27922.2540941        27922.0526845            0.0000000            0.0000000 
20    42 1.0421403            0.0013777   279 139.000        27922.2996726        27922.2887336        27922.1646371            0.0000000            0.0000000 
20    43 1.0373746            0.0014788   279 139.000        27922.2996726        27922.3239153        27922.4378609            0.0000000            0.0000000 
20    44 1.0351687            0.0016933   279 139.000        27921.7387811        27921.8475476        27922.1136133            0.0000000            0.0000000 
20    45 1.0289094            0.0017524   279 139.000        27921.1779121        27921.4244146        27921.5765333            0.0000000            0.0000000 
20    46 1.0298850            0.0018392   279 139.000        27921.7387811        27921.8338371        27921.7652235            0.0000000            0.0000000 
20    47 1.0292012            0.0021303   279 139.000        27922.2996726        27922.3033032        27922.1838387            0.0000000            0.0000000 
20    48 1.0278349            0.0020398   279 139.000        27922.8605866        27922.4093575        27922.2344188            0.0000000            0.0000000 
20    49 1.0388419            0.0022361   279 139.000        27922.2996726        27921.8412923        27921.9746321            0.0000000            0.0000000 
20    50 1.0391342            0.0024739   279 139.000        27920.6170657        27920.3616965        27920.7997323            0.0000000            0.0000000 
